Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score,Genre Categories,Subject Categories,Location Categories
100,2338,Regeneration,Pat Barker,1991,British,English,250-300,90000,819,470,"Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction, military fiction","War, World War I","Craiglockhart, Great Britain, Scotland, United Kingdom"
101,249,A Bend in the River,V. S. Naipaul,1979,Trinidadian,English,278-350,78000,831,467,"Drama, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, philosophical","Displacement, Exile, Power, Survival, change, colonialism, conflict, corruption, isolation","Africa, Central Africa, Fictional Location, India"
102,57,Money,Martin Amis,1984,British,English,300-400,134000,840,462,"Absurdist, Dark Humor, Fiction, Literary Fiction, Picaresque, Postmodern","Addiction, Capitalism, Excess, Film Industry, consumerism, greed, self-destruction","England, London, Money, New York, New York City, United States"
103,2875,The Hour of the Star,Clarice Lispector,1977,Brazilian,Portuguese,80-96,23000,853,454,"Allegorical, Experimental, Fiction, Literary Fiction, Postmodern, Psychological","Alienation, Death, Despair, Dreams, Existentialism, Poverty, Struggle, Women's Studies, loneliness","Brazil, Hope, Rio de Janeiro"
104,3228,A Tale of Love and Darkness,Amos Oz,2002,Israeli,Hebrew,500-600,150000,855,454,"Biography, Cultural, Historical fiction, Memoir, Nonfiction, Travel","Family, Family dynamics, History, Immigration, Jewish, Love, Memory, Middle East History, Politics, Trauma, childhood","Israel, Jerusalem"
105,355,Rabbit at Rest,John Updike,1990,American,English,450-500,156000,860,451,"Contemporary, Family & Relationships, Fiction, Literary Fiction, Psychological, Realistic Fiction","Addiction, Aging, Business, Death, Family, Family dynamics, Infidelity, Redemption, Regret, health","Brewster, Massachusetts, United States"
106,1423,The Kite Runner,Khaled Hosseini,2003,Afghan,English,372,101000,864,447,"Coming of age, Drama, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Betrayal, Courage, Family, Family dynamics, Forgiveness, Friendship, Guilt, Identity, Redemption","Afghanistan, Kabul, Soviet Union, United States"
107,1966,High Fidelity,Nick Hornby,1995,British,English,300-350,96422,866,446,"Absurdist, Contemporary, Family & Relationships, Fiction, Humor, Literary Fiction, Pop Culture","Breakups, Friendship, Love, Music, Nostalgia, Self-discovery, relationships","England, London"
108,62,Neuromancer,William Gibson,1984,"American, Canadian",English,271-320,78973,867,445,"Cyberpunk, Fiction, Hard Science Fiction, Modernist, Postmodern, Science fiction, Speculative Fiction","Artificial Intelligence, Cybernetics, Drugs, Hacking, Technology, Virtual reality, corporate espionage, surveillance","Fictional Location, Japan"
109,638,The Line of Beauty,Alan Hollinghurst,2004,British,English,400-500,104000,869,444,"Coming of age, Fiction, Literary Fiction, Satire, Social & Cultural Fiction, Tragedy","AIDS, Drugs, Gender and Sexuality, Lgbtq+, Love, Politics, Sexuality, Wealth, class","England, Great Britain, London, United Kingdom"
110,3999,The Piano Teacher,Elfriede Jelinek,1983,Austrian,German,250-300,,875,441,"Dark, Experimental, Fiction, Literary Fiction, Psychological, Tragedy","Control, Desire, Music, Power, Psychological Abuse, Repression, Sadomasochism, Sexuality, Violence, relationships","Austria, Vienna"
111,3534,The Sellout,Paul Beatty,2015,American,English,288-304,87200,882,439,"Absurdist, Dark Humor, Fiction, Literary Fiction, Satire, Social & Cultural Fiction","African American, Education, Family, Family dynamics, Friendship, Justice, Psychology, Race relations, Racism, Segregation, Society","California, Los Angeles, United States"
112,5550,The Warmth Of Other Suns,Isabel Wilkerson,2010,American,English,622,166000,888,436,"Americana, Biography, Nonfiction, Travel","African American History, American History, Community, Discrimination, Family, Freedom, History, Migration, Opportunity, Perseverance, Racism, Segregation","Chicago, Los Angeles, Mississippi, New York City, United States"
113,1339,The New York Trilogy,Paul Auster,1985,American,English,320-370,80000,889,436,"Experimental, Fiction, Literary Fiction, Mystery, Postmodern, Psychological","Detective, Disappearance, Existentialism, Madness, Psychology & Mental Health, Urban Life, isolation, surveillance, writing","New York, United States"
114,11569,My Struggle,Karl Ove Knausgård,2009,Norwegian,Norwegian,400-600,,890,436,"Autobiography, Drama, Experimental, Fiction, Memoir","Death, Existence, Family, Family dynamics, Fatherhood, Memory, childhood, relationships, writing","Norway, Sweden"
115,3180,The Rings of Saturn,W. G. Sebald,1995,German,German,200-300,72000,900,433,"Allegorical, Experimental, Fiction, Postmodern, Travel, philosophical","Decay, Destruction, History, Memory, Mortality, Nature, Reportage, isolation","England, Suffolk, United Kingdom"
116,97,Watchmen,Alan Moore,1986,"American, British",English,416,,902,433,"Comics & Graphic Novels, Dystopian, Fiction, Literary Fiction, Political, Postmodern, Speculative Fiction, Thriller & Suspense","Alternate History, Existentialism, Friendship, Identity, Justice, Power, Vigilantism, corruption, fear, human nature, morality, nuclear war","New York City, United States"
117,510,The Plot Against America,Philip Roth,2004,American,English,391,145000,903,432,"Fiction, Historical fiction, Literary Fiction, Political, Social & Cultural Fiction","ANTI-SEMITISM, Alternate History, Family, History, Jewish, Jews, Politics, Prejudice, Propaganda, Racism, Violence, fear","Asia, Canada, Germany, Japan, New Jersey, New York, Newark, United States"
118,3422,The Sympathizer,Viet Thanh Nguyen,2015,American,English,384,110000,905,431,"Fiction, Literary Fiction, Political, Postmodern, Psychological, Thriller & Suspense","Betrayal, Espionage, Exile, Identity, Ideology, Loyalty, War, colonialism","California, Los Angeles, United States, Vietnam, Vietnam War"
119,1144,Where I'm Calling From,Raymond Carver,1988,American,English,200-300,,906,430,"Absurdist, Experimental, Fiction, Literary Fiction, Realistic Fiction, Short Story Collection","Addiction, Communication, Despair, Infidelity, Marriage, Recovery, Redemption, Short stories, alcoholism, isolation, relationships",United States
120,3979,Burger's Daughter,Nadine Gordimer,1979,South African,English,300-400,123000,919,426,"Coming of age, Drama, Fiction, Literary Fiction, Political, Social & Cultural Fiction","Activism, Apartheid, Betrayal, Family, Imprisonment, Justice, Politics, Resistance, Sacrifice","Africa, Europe, Johannesburg, South Africa, Southern Africa"
121,392,Bel Canto,Ann Patchett,2001,American,English,300-400,98204,923,424,"Drama, Fiction, Historical fiction, Literary Fiction, Realistic Fiction, Romance","Friendship, Hostage, Love, Music, Opera, Survival, Terrorism, Women's Studies, political intrigue","Fictional Location, South America"
122,3157,Smilla's Sense of Snow,Peter Høeg,1992,Danish,Danish,400-500,122000,941,417,"Fiction, Literary Fiction, Mystery, Psychological, Thriller & Suspense, Travel","Friendship, Grief, Investigation, Murder, Science, Snow, Survival, isolation","Copenhagen, Denmark, Greenland"
123,3161,A Tomb for Boris Davidovich,Danilo Kiš,1976,Serbian,Serbo-croatian,100-200,,945,415,"Fiction, Literary Fiction, Political, Postmodern, Social & Cultural Fiction, philosophical","Betrayal, Ideology, Interrogation, Political Repression, Revolution, Short stories, Terrorism, Totalitarianism, execution, surveillance","Eastern Europe, Soviet Union"
124,3542,The Last Samurai,Helen DeWitt,2000,American,English,530,482000,948,414,"Coming of age, Experimental, Fiction, Literary Fiction, Postmodern, philosophical","Education, Film, Genius, Language, Mentorship, Mothers & Children, Parenting","Chicago, England, London, United States"
125,3230,The Discovery of Heaven,Harry Mulisch,1992,Dutch,Dutch,800-900,302000,950,413,"Allegorical, Fiction, Good and evil, Literary Fiction, Postmodern, philosophical","Destiny, Fate, Friendship, History, Philosophy, Politics, Science, morality","Italy, Netherlands"
126,3528,The Vegetarian,Han Kang,2007,Korean,Korean,192,50000,953,411,"Allegorical, Experimental, Fiction, Literary Fiction, Postmodern, Psychological, Travel","Family, Marriage, Mental Health, Sexuality, Society, Violence, isolation, rebellion","Seoul, South Korea"
127,3181,The Reader,Bernhard Schlink,1995,German,German,200-300,62000,956,411,"Coming of age, Fiction, Historical fiction, Literary Fiction, Psychological","Guilt, Holocaust, Justice, Literacy, Love, Memory, Shame, War crimes, relationships, secrets","Berlin, Germany"
128,2928,It,Stephen King,1986,American,English,1138,445134,960,409,"Coming of age, Fiction, Horror, Psychological, Speculative Fiction, Supernatural, Thriller & Suspense","Bullying, Courage, Friendship, Loss, Memory, Monsters, Survival, Trauma, childhood, evil, fear","Derry, Maine, United States"
129,2065,Speedboat,Renata Adler,1976,American,English,173,55000,967,407,"Experimental, Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction","Culture, Journalism, Memory, Politics, Society, Women's Studies, isolation, relationships","New York, United States"
130,511,The Poisonwood Bible,Barbara Kingsolver,1998,American,English,500-600,196000,971,405,"Allegorical, Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Christianity, Cultural Clash, Family, Family dynamics, Guilt, Missionaries, Nature, Redemption, Survival, colonialism","Africa, Central Africa, Congo, United States"
131,356,A Thousand Acres,Jane Smiley,1991,American,English,371,192000,972,404,"Drama, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Agriculture, Betrayal, Family, Family dynamics, Farm life, Inheritance, Inheritance and succession, Marriage, Mental illness, Power, Siblings, abuse, relationships, secrets","Iowa, United States"
132,869,Essays of E. B. White,E. B. White,1977,American,English,364,,976,403,"Americana, Cultural, Humor, Nonfiction, Short Story Collection","Animals, City life, Culture, Essays, Journalism, Nature, Philosophy, Politics, Society, Technology, writing",United States
133,2868,Woodcutters,Thomas Bernhard,1984,Austrian,German,181,50000,981,403,"Dark, Fiction, Literary Fiction, Postmodern, Psychological, Satire","Criticism, Death, Despair, Existentialism, Memory, Society, isolation","Austria, Vienna"
134,436,Red Dragon,Thomas Harris,1981,American,English,300-400,128885,983,402,"Crime, Fiction, Horror, Mystery, Psychological, Speculative Fiction, Thriller & Suspense","Family, Forensics, Investigation, Murder, Police, Psychopathy, Trauma, fear, serial killers","Alabama, Baltimore, Florida, Georgia, St. Louis, United States, Washington D.C."
135,3980,A Dry White Season,Andre Brink,1979,South African,Afrikaans,200-300,90000,984,401,"Drama, Fiction, Literary Fiction, Political, Social & Cultural Fiction","Apartheid, Family, Friendship, Injustice, Moral Dilemma, Racism, Resistance, Truth, corruption, oppression","Africa, South Africa, Southern Africa"
136,1448,Fingersmith,Sarah Waters,2002,British,English,560,186000,990,399,"Crime, Fiction, Historical fiction, Literary Fiction, Mystery, Psychological, Victorian","Betrayal, Deception, Inheritance, Lgbtq+, Love, Madness, orphans","England, London, United Kingdom"
137,3283,Wild Swans,Jung Chang,1991,Chinese,English,500-700,200000,994,395,"Biography, Cultural, Memoir, Nonfiction, Political","Asian History, Culture, Family, History, Politics, Revolution, Survival, Women's Studies, gender, oppression, tradition",China
138,119,Harry Potter And The Prisoner Of Azkaban,J. K. Rowling,1999,British,English,317-435,107253,995,395,"Adventure, Fantasy, Fiction, Mystery, Speculative Fiction, Young adult","Betrayal, Courage, Freedom, Identity, Justice, fear","England, Fictional Location"
139,3189,"If Not Now, When?",Primo Levi,1982,Italian,Italian,350-400,,998,394,"Adventure, Drama, Fiction, Historical fiction, Literary Fiction, Travel","Friendship, History, Holocaust, Jewish, Persecution, Resistance, Survival, War","Europe, Fictional Location, Hope, Italy"
140,4202,Secondhand Time,Svetlana Alexievich,2013,Belarusian,Russian,700-800,330000,1003,392,"Cultural, Diaries & Journals, Memoir, Nonfiction, Political","European History, History, Human Experience, Identity, Memory, Nostalgia, Post-Soviet Transition, Reportage, Society, Voices, change","Belarus, Russia, Soviet Union, Ukraine"
141,145,Schindler's List,Thomas Keneally,1982,Australian,English,400-450,134000,1009,392,"Fiction, Historical fiction, Social & Cultural Fiction, Travel","American History, Bravery, European History, History, Holocaust, Humanity, Jewish, Jews, Nazis, Persecution, Rescue, Survival, War, World War II, morality","Germany, Kraków, Poland"
142,4039,Nervous Conditions,Tsitsi Dangarembga,1988,Zimbabwean,English,200-300,72000,1012,390,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Country life, Cultural Conflict, Education, Family, Mental Health, Poverty, Women's Studies, colonialism, gender, oppression, tradition","Africa, Southern Africa, Zimbabwe"
143,3468,The Hunt for Red October,Tom Clancy,1984,American,English,300-500,200000,1014,389,"Adventure, Fiction, Spy, Thriller & Suspense, military fiction","Defection, Espionage, History, Intelligence, Military, Military Strategy, Naval History, Navy, Submarines, Technology, War","Atlantic Ocean, Cold War, Russia, Soviet Union, United States"
144,11773,Cosmos,Carl Sagan,1980,American,English,365,127000,1019,386,"Biography, Encyclopedic, Nonfiction, Travel, philosophical","Astronomy, Cosmology, Exploration, History, History Of Science, Humanity, Knowledge, Life, Life Sciences, Nature, Science, Technology","Space, Universe"
145,1943,Birds of America,Lorrie Moore,1998,American,English,291,,1022,385,"Contemporary, Fiction, Humor, Literary Fiction, Short Story Collection, Social & Cultural Fiction","Death, Divorce, Family, Friendship, Illness, Marriage, Parenthood, Short stories, loneliness, relationships",United States
146,1410,The Da Vinci Code,Dan Brown,2003,American,English,450-600,138882,1045,380,"Fiction, Historical fiction, Mystery, Social & Cultural Fiction, Thriller & Suspense","Christianity, Conspiracy, Cryptography, History, Murder, Novela, Science, Secret societies, Symbology","England, France, Italy, London, Paris, Rome, United Kingdom, United States, Vatican City"
147,1289,The Book Thief,Markus Zusak,2005,Australian,English,550-600,118000,1052,376,"Absurdist, Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction","Books, Courage, Death, Family, Family dynamics, Friendship, Humanity, Loss, NAZISM, Survival, War, World War II","Germany, Molching"
148,2869,The Book of the New Sun,Gene Wolfe,1980,American,English,870-980,588000,1055,376,"Fantasy, Fiction, Literary Fiction, Postmodern, Science fiction, Speculative Fiction, Weird Fiction, philosophical","Existentialism, Identity, Knowledge, Memory, Mythology, Power, Redemption, Time",Fictional Location
149,2625,The War of the End of the World,Mario Vargas Llosa,1981,Peruvian,Spanish,500-700,310000,1056,375,"Fiction, Historical fiction, Literary Fiction, Political, Social & Cultural Fiction, philosophical","Despair, Fanaticism, Ideology, Leadership, Power, Revolution, Society, War, conflict","Peru, South America"
150,2266,Misery,Stephen King,1987,American,English,310-420,113000,1059,374,"Fiction, Horror, Mystery, Psychological, Speculative Fiction, Thriller & Suspense","Captivity, Control, Dependency, Madness, Obsession, Survival, fear, isolation",Fictional Location
151,3279,Birdsong,Sebastian Faulks,1993,British,English,400-500,123000,1061,373,"Fiction, Historical fiction, Literary Fiction, Psychological, military fiction","Family, Friendship, Love, Memory, Sacrifice, Survival, Trauma, War, World War I","England, France"
152,6531,Gorky Park,Martin Cruz Smith,1981,American,English,365-450,131000,1063,372,"Crime, Fiction, Mystery, Spy, Thriller & Suspense","Betrayal, Espionage, Investigation, Justice, Murder, Politics, Survival, corruption","Moscow, Russia"
153,3535,Lincoln in the Bardo,George Saunders,2017,American,English,343,77000,1064,372,"Allegorical, Experimental, Fiction, Literary Fiction, Magical Realism, Postmodern","Afterlife, Death, Death & Grief, Family, Family dynamics, Grief, Historical Figures, Lgbtq+, Loss, Presidency, Slavery, Spirits, War","United States, Washington D.C."
154,279,The Book of Laughter and Forgetting,Milan Kundera,1979,Czech,Czech,200-300,59000,1067,371,"Fiction, Literary Fiction, Modernist, Postmodern, Social & Cultural Fiction, philosophical","Betrayal, Exile, Love, Memory, Politics, Sexuality, oppression","Czech Republic, Latin American, Prague"
155,3403,The Passion,Jeanette Winterson,1987,British,English,160-200,53000,1074,368,"Experimental, Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern","Betrayal, Lgbtq+, Love, Magic, Obsession, Passion, War, gender, relationships","France, Italy, Russia, Venice"
156,4267,The Overstory,Richard Powers,2018,American,English,502,138000,1078,367,"Fiction, Literary Fiction, Magical Realism, Social & Cultural Fiction, philosophical","Activism, Conservation, Deforestation, Environmentalism, Humanity, Interconnectedness, Nature, Survival","California, Iowa, United States"
157,4056,Get Shorty,Elmore Leonard,1990,American,English,300-400,60000,1080,367,"Crime, Fiction, Humor, Mystery, Satire, Thriller & Suspense, noir","Blackmail, Comedy, Crime fiction, Film Industry, Gangsters, Loan Sharks, Movies, Violence","Hollywood, Los Angeles, United States"
158,6060,Fantasia,Assia Djebar,1985,French,French,240-264,,1082,366,"Cultural, Fiction, Historical fiction, Literary Fiction","European History, Freedom, History, Language, Memory, Resistance, Symbolism, War, Women, colonialism, oppression","Algeria, France"
159,1147,Jesus' Son,Denis Johnson,1992,American,English,160,23000,1084,366,"Experimental, Fiction, Literary Fiction, Postmodern, Short Story Collection, Social & Cultural Fiction","Addiction, Death, Drugs, Mental illness, Redemption, Short stories, Violence, loneliness","Desperation, Fictional Location, Iowa, United States"
160,3998,The Sorrow of Belgium,Hugo Claus,1983,Belgian,Dutch,778,,1090,365,"Allegorical, Coming of age, Dark, Fiction, Historical fiction, Literary Fiction, Modernist","Betrayal, Education, Family, NAZISM, Occupation, Resistance, War, childhood","Belgian, Belgium"
161,4178,The Fifth Season,N. K. Jemisin,2015,American,English,468,152000,1091,365,"Fantasy, Fiction, High Fantasy, Post Apocalyptic, Speculative Fiction","African American, Catastrophe, Discrimination, Magic, Power, Survival, oppression, rebellion, secrets",Fictional Location
162,2437,The Christmas Oratorio,Göran Tunström,1983,Swedish,Swedish,200-300,,1093,365,"Coming of age, Fiction, Historical fiction, Literary Fiction, Social & Cultural Fiction, Tragedy","Family, Grief, Love, Memory, Music",Sweden
163,2486,The Namesake,Jhumpa Lahiri,2003,American,English,291,80000,1095,364,"Coming of age, Family & Relationships, Fiction, Literary Fiction, Social & Cultural Fiction","Assimilation, Culture, Immigrants, Immigration, Names, Novela, Siblings, belonging, heritage, relationships, tradition","Cambridge, India, Kolkata, Massachusetts, United States"
164,2000,A Brief History of Time,Stephen Hawking,1988,British,English,200-256,41000,1096,364,"Encyclopedic, Nonfiction, Technical, philosophical","Big Bang Theory, Black holes, Cosmology, History, History Of Science, Nature, Physics, Relativity, Science, Singularity, Space-time, Time","Fictional Location, Quantum Mechanics, Space, Universe"
165,5951,The Unwomanly Face Of War,Svetlana Alexievich,1985,Russian,Russian,331,,1103,363,"Cultural, Memoir, Nonfiction, Political, True Story","American History, Courage, European History, History, Humanity, Memory, Reportage, Survival, Trauma, War, Women's Studies, Womens Studies","Belarus, Russia, Soviet Union, Ukraine"
166,5686,The Neverending Story,Michael Ende,1979,German,German,300-500,96000,1112,361,"Adventure, Fantasy, Fiction, Good and evil, High Fantasy, Magical Realism, Speculative Fiction","Courage, Creativity, Friendship, Juvenile, Magic, Self-discovery, Storytelling, imagination",Fictional Location
167,636,Life of Pi,Yann Martel,2001,Canadian,English,300-400,100000,1116,361,"Adventure, Allegorical, Fiction, Literary Fiction, Magical Realism","Animals, Christianity, Faith, Humanity, Storytelling, Survival, Teenagers, isolation, orphans","Canada, India, Pacific Ocean"
168,480,Blindness,José Saramago,1995,Portuguese,Portuguese,300-400,155000,1121,360,"Allegorical, Dystopian, Fiction, Modernist, Psychological, Social & Cultural Fiction, Speculative Fiction","Blindness, Humanity, Power, Society, Survival, fear, isolation, morality",Fictional Location
169,2211,The Woman Warrior,Maxine Hong Kingston,1976,American,English,200-240,70000,1122,359,"Cultural, Folklore & Fairy Tales, Magical Realism, Memoir, Nonfiction","Asian History, Childhood and youth, Culture, Empowerment, Family, Family dynamics, History, Immigration, Myth, Storytelling, Women's Studies, gender, silence, tradition","California, China, United States"
170,3167,Norwegian Wood,Haruki Murakami,1987,Japanese,Japanese,384-400,144000,1128,357,"Coming of age, Contemporary, Fiction, Literary Fiction, Realistic Fiction, Tragedy","Death, Friendship, Grief, Love, Memory, Mental Health, Sexuality, Suicide, loneliness","Japan, Tokyo"
171,1933,Snow,Orhan Pamuk,2002,Turkish,Turkish,400-500,95000,1132,356,"Fiction, Historical fiction, Literary Fiction, Psychological, Social & Cultural Fiction, philosophical","Exile, Freedom of Speech, Love, Politics, Secularism, Suicide, Terrorism, fundamentalism","Kars, Turkey"
172,2140,"Little, Big",John Crowley,1981,American,English,538,250000,1144,354,"Fiction, Literary Fiction, Magical Realism, Postmodern, Speculative Fiction","Destiny, Fairies, Family, Generations, Love, Magic, Marriage, reality, secrets",Fictional Location
173,2690,Flaubert's Parrot,Julian Barnes,1984,British,English,190-210,41000,1161,350,"Books About Books, Fiction, Literary Fiction, Postmodern, metafiction, philosophical","Death, Memory, Obsession, Parrots, Truth","France, United Kingdom"
174,1433,Fun Home,Alison Bechdel,2006,American,English,232,,1166,349,"Comics & Graphic Novels, Memoir, Nonfiction, philosophical","Death, Family, Family dynamics, Gender and Sexuality, Lgbtq+, Memory, Mental Health, Sexuality, relationships, secrets","Beech Creek, Pennsylvania, United States"
175,671,Mating,Norman Rush,1991,American,English,480-496,186000,1172,346,"Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction, philosophical","Anthropology, Culture, Love, Marriage, Politics, Self-discovery, Society, colonialism, gender, relationships","Africa, Botswana, Central Africa, Southern Africa"
176,1517,Nickel And Dimed,Barbara Ehrenreich,2001,American,English,221-240,64000,1174,346,"Cultural, Memoir, Nonfiction, Political, True Story","Economics, Employment, International Development, Labor, Poverty, Society, Survival, Wages, class, inequality","Florida, Maine, Minnesota, United States"
177,3523,Outline,Rachel Cusk,2014,British,English,240-256,60000,1175,345,"Experimental, Fiction, Literary Fiction, Realistic Fiction, Social & Cultural Fiction, philosophical","Conversation, Creativity, Divorce, Friendship, Memory, Self-discovery, Storytelling, Teachers, loneliness, relationships, writing","Athens, Greece"
178,4168,Normal People,Sally Rooney,2018,Irish,English,260-280,72000,1176,345,"Adult, Coming of age, Family & Relationships, Fiction, Literary Fiction, Realistic Fiction","Economics, Education, Love, Mental Health, Sexuality, class, relationships","Dublin, Ireland"
179,1430,Runaway,Alice Munro,2004,Canadian,English,335,,1177,345,"Family & Relationships, Fiction, Literary Fiction, Psychological, Realistic Fiction, Short Story Collection","Betrayal, Escape, Family, Grief, Infidelity, Marriage, Self-discovery, Short stories, Women's Studies, relationships, secrets",Canada
180,3436,Between the World and Me,Ta-Nehisi Coates,2015,American,English,152-176,36000,1179,344,"Autobiography, Cultural, Memoir, Nonfiction, Political","African American History, American History, Family, History, Identity, Injustice, Racism, Struggle, fear","Baltimore, Hope, Paris, United States, Washington D.C."
181,3273,The Wasp Factory,Iain Banks,1984,British,English,192-256,62000,1184,343,"Dark, Fiction, Horror, Literary Fiction, Postmodern, Psychological, Speculative Fiction, Travel","Animals, Death, Madness, Psychology, Rituals, Violence, isolation, secrets","Fictional Location, Scotland"
182,1726,The Snow Leopard,Peter Matthiessen,1978,American,English,300-350,128000,1188,342,"Diaries & Journals, Memoir, Nonfiction, Religion & Spirituality, Travel","Asian History, Conservation, History, Nature, Pilgrimage, Self-discovery, Solitude, Wildlife","Himalayas, Nepal, Tibet, United States"
183,3005,Foucault's Pendulum,Umberto Eco,1988,Italian,Italian,500-700,196000,1189,342,"Books About Books, Esoterica, Fiction, Mystery, Postmodern, philosophical","Conspiracy, Deception, Knowledge, Mysticism, Occultism, Philosophy, Power, Publishing, Secret societies","Brazil, France, Italy"
184,12302,Danube,Claudio Magris,1986,Italian,Italian,300-400,,1208,338,"Cultural, Encyclopedic, Nonfiction, Travel, philosophical","Civilization, Culture, European History, History, Memory, Migration, Philosophy, Politics","Austria, Bulgaria, Croatia, Danube River, Germany, Hungary, Romania, Serbia, Slovakia, Ukraine"
185,4007,The Year of the Death of Ricardo Reis,José Saramago,1984,Portuguese,Portuguese,300-400,,1218,336,"Fiction, Historical fiction, Literary Fiction, Magical Realism, Postmodern, philosophical","Death, Existentialism, Friendship, History, Love, Memory, Philosophy, Politics","Lisbon, Portugal"
186,3412,The Buddha of Suburbia,Hanif Kureishi,1990,British,English,280-300,90000,1220,335,"Coming of age, Contemporary, Fiction, Literary Fiction, Social & Cultural Fiction","Adolescence, Culture, Family, Family dynamics, Friendship, Gender and Sexuality, Politics, Sexuality, class, race","England, London"
187,13,The Blind Assassin,Margaret Atwood,2000,Canadian,English,521-637,155000,1233,330,"Drama, Fiction, Literary Fiction, Magical Realism, Mystery, Postmodern, Psychological","Betrayal, Crafts, Hobbies & Home, Death, Death & Grief, Family, Love, Memory, Power, Storytelling, class, relationships, secrets","Canada, Ontario, Toronto"
188,1939,On Writing,Stephen King,2000,American,English,288-320,118000,1240,329,"Books About Books, How To, Memoir, Nonfiction","Craftsmanship, Creativity, Discipline, Inspiration, Persistence, Storytelling, writing","Fictional Location, Maine, United States"
189,3978,So Long a Letter,Mariama Bâ,1980,Senegalese,French,90-100,27000,1247,326,"Family & Relationships, Fiction, Literary Fiction, Literary Letters, Realistic Fiction, Social & Cultural Fiction","Education, Family, Feminism, Friendship, Humanities, Marriage, Modernity, Mothers & Children, Polygamy, Widowhood, tradition","Africa, Dakar, Germany, Independence, Senegal, United States, West Africa"
190,592,The Blue Flower,Penelope Fitzgerald,1995,British,English,200-300,46000,1248,326,"Fiction, Historical fiction, Literary Fiction, Modernist, Social & Cultural Fiction","Death, Family, Friendship, Illness, Love, Marriage, Philosophy","Germany, Jena"
191,2584,Omeros,Derek Walcott,1990,Saint Lucian,English,300-350,,1249,326,"Allegorical, Fiction, Literary Fiction, Poetry, Social & Cultural Fiction, epic","Cultural Heritage, Exile, History, Identity, Indigenous, Memory, Mythology, Nature, colonialism","Caribbean, Saint Lucia"
192,4022,Extinction,Thomas Bernhard,1986,Austrian,German,300-350,,1251,326,"Experimental, Fiction, Literary Fiction, Modernist, Postmodern, philosophical","Criticism, Death, Despair, Engineering, Existentialism, Family, Inheritance, Memory, Nature & Environment, Philosophy, Physical Sciences, isolation","Austria, Vienna"
193,3545,Erasure,Percival Everett,2001,American,English,265,,1252,326,"Dark, Experimental, Fiction, Literary Fiction, Modernist, Postmodern, Travel","Academia, African American, Culture, Family, Stereotypes, race, writing","California, Los Angeles, United States"
194,4204,Sapiens,Yuval Noah Harari,2011,Israeli,Hebrew,400-500,172000,1253,326,"Cultural, Encyclopedic, Nonfiction, Travel, philosophical","Agricultural Revolution, Asian History, Cognitive Revolution, Economics, European History, History, History Of Science, Human Society, Human evolution, Imperialism, Industrial revolution, Science, Technology","Australia, Fictional Location, India, United States"
195,1937,Selected Stories of Alice Munro,Alice Munro,1996,Canadian,English,545,,1255,325,"Fiction, Literary Fiction, Realistic Fiction, Short Story Collection, Social & Cultural Fiction","Aging, Family, Family dynamics, Friendship, Identity, Marriage, Memory, Regret, change, gender roles, isolation, relationships","Canada, Fictional Location, Ontario"
196,3996,A Boy's Own Story,Edmund White,1982,American,English,200-300,50000,1257,324,"Adult, Coming of age, Fiction, Literary Fiction, Realistic Fiction","Adolescence, Bullying, Family, Friendship, Gender and Sexuality, Lgbtq+, Self-discovery, Sexuality, Teenagers, homosexuality, loneliness","Michigan, New York, United States"
197,4538,Pachinko,Min Jin Lee,2017,American,English,400-500,166000,1273,320,"Fiction, Historical fiction, Literary Fiction, Realistic Fiction, Sagas, Social & Cultural Fiction","Asian History, Betrayal, Discrimination, Family, Family dynamics, History, Immigration, Poverty, Resilience, Sacrifice, tradition","Hope, Japan, Korea"
198,35055,The Road Less Traveled,M. Scott Peck,1978,American,English,320,,1276,319,"Inspirational, Nonfiction, Religion & Spirituality","Christianity, Discipline, Love, Personal Growth, Psychology, Responsibility, Suffering, Truth",""
199,635,True History of the Kelly Gang,Peter Carey,2000,Australian,English,384,134000,1277,319,"Experimental, Fiction, Historical fiction, Literary Fiction, Picaresque, Postmodern","Family, Injustice, Law, Outlaws, Poverty, Survival, colonialism, rebellion","Australia, Fictional Location, Victoria"
200,3405,The Swimming-Pool Library,Alan Hollinghurst,1988,British,English,240-320,134000,1278,319,"Erotica, Fiction, Literary Fiction, Postmodern, Psychological, Social & Cultural Fiction","AIDS, Friendship, Gender and Sexuality, History, Interpersonal relations, Lgbtq+, Privilege, Sexuality, Social sciences, class, homosexuality, relationships","England, London"
